# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  113       4.279547476294e-10       1.439825714008e-13      -4.554220998987e-12       9.406949997186e-15       7.352272285248e-12       1.084020054017e-12      -6.382514004373e-15 
  114       4.320619920675e-10       1.454652607092e-13      -4.630040144504e-12       9.293203104188e-15       7.178722762444e-12       1.064096994873e-12      -6.316915686777e-15 
  115       4.362004920418e-10       1.468976390398e-13      -4.704956086832e-12       9.177424910566e-15       7.010587954578e-12       1.044727032364e-12      -6.250280373089e-15 
  116       4.403694149412e-10       1.482782398475e-13      -4.778903012260e-12       9.059757345401e-15       6.847752999880e-12       1.025895937899e-12      -6.182636508502e-15 
  117       4.445677468200e-10       1.496056242716e-13      -4.851814611598e-12       8.940343858461e-15       6.690064413016e-12       1.007584994350e-12      -6.114008700550e-15 
  118       4.487942868607e-10       1.508783824053e-13      -4.923624097318e-12       8.819329330805e-15       6.537328972854e-12       9.897708663704e-13      -6.044417555651e-15 
  119       4.530476418381e-10       1.520951345654e-13      -4.994264220689e-12       8.696859985391e-15       6.389312610230e-12       9.724254707126e-13      -5.973879515658e-15 
  120       4.573262205816e-10       1.532545325617e-13      -5.063667288911e-12       8.573083297682e-15       6.245739295710e-12       9.555158465465e-13      -5.902406694410e-15 
  121       4.616282284392e-10       1.543552609663e-13      -5.131765182253e-12       8.448147906254e-15       6.106289927359e-12       9.390040257789e-13      -5.830006714284e-15 
  122       4.659516617407e-10       1.553960383837e-13      -5.198489371191e-12       8.322203523403e-15       5.970601218503e-12       9.228469033712e-13      -5.756682542739e-15 
  123       4.702946093294e-10       1.563756603051e-13      -5.263771865422e-12       8.195397194651e-15       5.838344100538e-12       9.070063198404e-13      -5.682460969141e-15 
  124       4.746562081767e-10       1.572931305431e-13      -5.327548147877e-12       8.067861781114e-15       5.709471499249e-12       8.914808965382e-13      -5.607482087683e-15 
  125       4.790357876271e-10       1.581475473598e-13      -5.389754611639e-12       7.939725979335e-15       5.583997059948e-12       8.762776303033e-13      -5.531919834265e-15 
  126       4.834325690740e-10       1.589380648136e-13      -5.450327682466e-12       7.811117736970e-15       5.461917700387e-12       8.614019600320e-13      -5.455954328233e-15 
  127       4.878456628393e-10       1.596638943567e-13      -5.509203843261e-12       7.682164134666e-15       5.343213124128e-12       8.468577173444e-13      -5.379771934266e-15 
  128       4.922740650522e-10       1.603243064309e-13      -5.566319658536e-12       7.552991267943e-15       5.227845333922e-12       8.326470772499e-13      -5.303565324260e-15 
  129       4.967166545289e-10       1.609186320652e-13      -5.621611798882e-12       7.423724129074e-15       5.115758145081e-12       8.187705088140e-13      -5.227533539217e-15 
  130       5.011721896513e-10       1.614462644720e-13      -5.675017065438e-12       7.294486488966e-15       5.006876698854e-12       8.052267258242e-13      -5.151882051132e-15 
  131       5.056393052470e-10       1.619066606440e-13      -5.726472414358e-12       7.165400779042e-15       4.901106975803e-12       7.920126374559e-13      -5.076822824875e-15 
  132       5.101165094678e-10       1.622993429506e-13      -5.775914981278e-12       7.036587973119e-15       4.798335309176e-12       7.791232989389e-13      -5.002574380081e-15 
  133       5.146021806694e-10       1.626239007354e-13      -5.823282105784e-12       6.908167469293e-15       4.698427898285e-12       7.665518622233e-13      -4.929361853036e-15 
  134       5.190945642908e-10       1.628799919119e-13      -5.868511355882e-12       6.780256971813e-15       4.601230321880e-12       7.542895266457e-13      -4.857417058561e-15 
